filename,cpr_start_sec,cpr_end_sec,rotate_degrees,notes
video1.mp4,4.0,24.0,0,
video2.mp4,3.0,29.0,0,
video3.mp4,2.0,19.0,0,
video4.mp4,5.0,30.0,0,
video5.mp4,5.0,25.0,0,
video6.mp4,3.0,24.0,0,
video7.mp4,4.0,24.0,0,
video8.mp4,3.0,22.0,0,
video9.mp4,2.0,21.0,0,
video10.mp4,2.0,20.0,0,
